tenantid,rtid,bldgid,reqdate,unit,reqdescription,compstamp
389,1,6,1/17/2024,696,Wireless wifi websites.,
642,6,2,1/17/2024,216,Bathroom dripping a dripping move dripping hopeless.,
405,5,6,1/17/2024,619,Blowing grate to fan help fan broken.,
285,2,1,1/17/2024,117,Hopeless bashed with an axe bashed with an axe trapped locked to.,
79,1,1,1/17/2024,138,Slumlord port internet to.,
144,2,7,1/17/2024,730,Help bashed with an axe bashed with an axe trapped locked to.,
455,3,5,1/17/2024,522,Slumlord bulb bulb whine whine a.,
453,8,1,1/17/2024,133,Stuck injured @#$%*&! cardboard lock @#$%*&! handle cant open.,
555,3,6,1/18/2024,671,Night Light the smoke.,
358,1,2,1/18/2024,296,Wireless wifi websites.,
39,6,7,1/19/2024,716,Might highly forever law suit.,
213,9,1,1/19/2024,172,@#$%*&! huge cabinet noxious.,
270,5,7,1/19/2024,730,Slumlord grate boiling on.,
684,5,1,1/20/2024,114,Wheeze on highly to.,
520,9,2,1/20/2024,206,Highly closet rod maybe to.,
253,1,6,1/20/2024,611,Broken download modem call.,
416,8,3,1/20/2024,304,Crack fallen out the @#$%*&! of injured of.,
246,2,7,1/21/2024,776,Falling loose the highly incompetent broken forever.,
104,2,1,1/21/2024,161,The a broken.,
590,1,1,1/21/2024,183,Forever click click game streaming the.,
426,9,7,1/21/2024,729,Cupboard closet rod a closet rod might shelf hopeless.,
229,1,2,1/21/2024,222,Internet shopping might game call might download port.,
697,1,5,1/21/2024,576,@#$%*&! download modem call.,
280,3,8,1/21/2024,860,Flame led to led might bulb for.,
333,2,4,1/22/2024,451,Knob broken forever trapped open forever jamb barricade.,
183,3,5,1/22/2024,566,Flame switch night light will sue incompetent smoke of.,
548,8,4,1/22/2024,488,Crack fallen out the broken for injured law suit.,
245,1,2,1/22/2024,221,@#$%*&! click click game streaming the.,
293,2,5,1/23/2024,507,Knob broken law suit trapped open law suit jamb barricade.,
166,2,8,1/23/2024,850,Of bashed with an axe bashed with an axe trapped locked to.,
326,9,6,1/23/2024,679,Vinyl melting uncomfortable.,
411,1,8,1/23/2024,843,Might @#$%*&! forever forever.,
393,5,7,1/23/2024,752,Blowing chilly unexpected of deposit a/c slumlord.,
74,1,5,1/23/2024,512,Slow download wireless deposit deposit websites forever.,
564,8,6,1/23/2024,614,Deposit fallen out shatter lock.,
167,8,3,1/23/2024,358,Will Sue fallen out shatter lock.,
520,5,1,1/23/2024,107,Of grate boiling on.,
446,6,1,1/23/2024,130,Pooled Up plunger pooled up flooded wet rattle water.,
310,9,5,1/23/2024,581,Move shelf shelf wall fixture the.,
108,1,2,1/23/2024,225,Slow download wireless for slumlord websites help.,
620,2,4,1/23/2024,419,Falling air whistle on air whistle of air whistle law suit.,
571,3,2,1/23/2024,210,Forever bulb bulb whine whine a.,
